Symbol	Ensembl Transcript ID	CDS Length
SLC1A6	ENST00000221742	1695
CASP14	ENST00000427043	729
AURKC	ENST00000302804	930
ADC	ENST00000373441	1443
HSPA1A	ENST00000430065	1926
LCE6A	ENST00000431011	243
ANO7	ENST00000274979	2802
GRIK2	ENST00000421544	2727
GJB7	ENST00000525899	672
SLC35A1	ENST00000369552	1014
CGRRF1	ENST00000216420	999
LRCH4	ENST00000310300	2052
FAM76B	ENST00000358780	1020
KRTAP29-1	ENST00000391353	1026
KRTAP9-6	ENST00000391355	483
GOT1L1	ENST00000307599	1266
AP1S3	ENST00000443700	495
KRTAP16-1	ENST00000391352	1554
PLEKHB1	ENST00000354190	732
CHADL	ENST00000216241	2289
EP300	ENST00000263253	7245
L3MBTL2	ENST00000216237	2118
FAM72A	ENST00000367129	450
CACNA1H	ENST00000348261	7062
SLC22A4	ENST00000200652	1656
HLA-DMA	ENST00000416806	871
CSNK1G3	ENST00000360683	1368
IK	ENST00000417647	1674
AGPAT4	ENST00000320285	1137
LRRC37B	ENST00000327564	2925
MIXL1	ENST00000542034	723
MFSD6L	ENST00000329805	1761
BCL7B	ENST00000223368	609
YKT6	ENST00000223369	597
MYL7	ENST00000457314	594
GCK	ENST00000345378	1401
TBL2	ENST00000305632	1344
MAGEA9B	ENST00000243314	948
DDX4	ENST00000505374	2175
CLEC4F	ENST00000272367	1770
TTC13	ENST00000366661	2583
NQO2	ENST00000338130	696
GALNT2	ENST00000366672	1716
PEX6	ENST00000304611	2943
OR51E2	ENST00000396950	963
TRIM68	ENST00000300747	1458
POMT2	ENST00000261534	2253
C17orf62	ENST00000336995	672
PFAS	ENST00000314666	4017
HYI	ENST00000372434	909
TPRX1	ENST00000535759	1527
IRF2	ENST00000393593	1050
MOBP	ENST00000311042	621
PFKFB4	ENST00000232375	1410
PQLC2	ENST00000375155	876
C6orf100	ENST00000377186	189
OR2B3	ENST00000377173	942
OR2J1	ENST00000377171	939
OR2J3	ENST00000377169	936
OR2J2	ENST00000377167	939
CALCA	ENST00000469608	426
OR2W1	ENST00000377175	963
ANAPC1	ENST00000341068	5835
ECI2	ENST00000380118	1185
PDIA3	ENST00000300289	1518
RIMBP3C	ENST00000433039	4920
WDR66	ENST00000288912	3450
C19orf45	ENST00000361664	1518
TBX10	ENST00000335385	1158
TMEM93	ENST00000248378	333
RPP21	ENST00000430900	534
RPS28	ENST00000600659	210
MARCH10	ENST00000583600	2541
TAF1L	ENST00000242310	5481
ACO1	ENST00000309951	2670
MARCH8	ENST00000453424	1369
TSHR	ENST00000541158	2295
CRCP	ENST00000395326	447
CCDC134	ENST00000255784	690
TMEM189	ENST00000557021	1113
PKD1L1	ENST00000289672	8550
SYN1	ENST00000295987	2118
KIAA1683	ENST00000392413	4104
C2orf65	ENST00000290536	1593
PSMB4	ENST00000290541	795
SSBP4	ENST00000270061	1158
GDF15	ENST00000595973	927
PGPEP1	ENST00000269919	630
MED30	ENST00000297347	537
SLC30A8	ENST00000456015	1110
RAD21	ENST00000297338	1896
PEX2	ENST00000357039	918
LAMC2	ENST00000264144	3582
SYNJ1	ENST00000433931	4839
LARP1	ENST00000336314	3060
GCFC1	ENST00000331923	2754
QPCTL	ENST00000012049	1149
HFE	ENST00000357618	1047
ADH1B	ENST00000305046	1128
C3orf32	ENST00000544814	1128
MMP1	ENST00000315274	1410
HLA-DQB2	ENST00000323109	840
PHLPP1	ENST00000262719	5154
TEX11	ENST00000395889	2823
ABCB4	ENST00000265723	3861
PGA5	ENST00000312403	1167
BAGE4	ENST00000540061	144
FLT4	ENST00000261937	4092
LY6G6F	ENST00000554860	1149
CCDC58	ENST00000291458	435
RPP21	ENST00000452262	534
C1orf146	ENST00000370375	543
CATSPER1	ENST00000312106	2343
HLA-DPA1	ENST00000419277	783
GCNT4	ENST00000322348	1362
OR51S1	ENST00000322101	972
FUT2	ENST00000425340	1032
EFCAB5	ENST00000394835	4512
OR51F2	ENST00000322110	1029
ZNF251	ENST00000292562	2016
SVIP	ENST00000354193	234
MAN1A2	ENST00000356554	1926
PPIAL4C	ENST00000369222	495
MIER1	ENST00000401041	1698
FPR2	ENST00000340023	1056
C15orf54	ENST00000318578	552
XKR6	ENST00000416569	1926
NR2F1	ENST00000327111	1272
ARL14	ENST00000320767	579
RPRML	ENST00000322329	363
MCPH1	ENST00000344683	2508
LYAR	ENST00000343470	1140
JSRP1	ENST00000586471	996
MIDN	ENST00000591446	1407
PCDHGA11	ENST00000398587	2808
CECR5	ENST00000336737	1272
HADHA	ENST00000380649	2292
PSMB9	ENST00000374859	660
SORBS1	ENST00000361941	3879
GABARAPL2	ENST00000037243	354
OR11H6	ENST00000315519	993
MBD3L2	ENST00000381393	627
HIST1H2BA	ENST00000274764	384
KAAG1	ENST00000274766	255
WDR31	ENST00000374193	1104
GNG5P2	ENST00000372054	207
RNF128	ENST00000255499	1287
BEX2	ENST00000536889	483
MORC4	ENST00000355610	2814
POLE3	ENST00000374169	444
PLA2G12B	ENST00000373032	588
PDK4	ENST00000005178	1236
CTDSP1	ENST00000428361	788
PDZD4	ENST00000164640	2310
CREB5	ENST00000357727	1527
CES3	ENST00000303334	1716
KSR1	ENST00000319524	2772
HMGA1	ENST00000395004	987
STAC	ENST00000273183	1209
CES4A	ENST00000326686	1686
FGFR2	ENST00000457416	2469
PARP14	ENST00000474629	5406
RSG1	ENST00000375599	777
MEF2D	ENST00000348159	1566
CAMK2A	ENST00000398376	1470
SLC35C2	ENST00000543605	1185
CDKN2B	ENST00000276925	417
IFNA16	ENST00000380216	570
CDKN2A	ENST00000361570	522
AMMECR1	ENST00000262844	1002
CHRDL1	ENST00000372042	1377
HBZ	ENST00000252951	429
PNPLA7	ENST00000406427	4029
MUC21	ENST00000457728	1791
NPR3	ENST00000265074	1626
DNTTIP2	ENST00000436063	2271
SUB1	ENST00000506237	384
GOLPH3	ENST00000265070	897
OSM	ENST00000215781	759
GSTT2	ENST00000215780	735
FMO4	ENST00000367749	1677
C10orf140	ENST00000449193	2727
SPAG4	ENST00000374273	1314
HIST1H2BC	ENST00000396984	381
SDHA	ENST00000264932	1995
RPL6	ENST00000202773	867
TMSL4	ENST00000323496	135
OR10G3	ENST00000303532	942
SNX5	ENST00000377759	1215
CDK18	ENST00000506784	1515
GPR89A	ENST00000313835	1368
FGF8	ENST00000320185	735
NPM3	ENST00000370110	537
FBXO43	ENST00000428847	2127
EEF1A1	ENST00000316292	1389
SUPV3L1	ENST00000359655	2361
FAM122C	ENST00000370784	588
FAM122B	ENST00000343004	801
LACTB	ENST00000261893	1644
CORO2B	ENST00000566799	1443
ABCA7	ENST00000263094	6441
NLRP2	ENST00000543010	3189
OR52N4	ENST00000317254	966
ARHGEF1	ENST00000599846	2907
CHRM2	ENST00000445907	1401
XAB2	ENST00000358368	2568
TOR1AIP1	ENST00000271583	1800
RGS16	ENST00000367558	609
ROPN1	ENST00000184183	639
THAP9	ENST00000302236	2712
TSPYL1	ENST00000368608	1314
RNF187	ENST00000305943	381
MAK	ENST00000313243	1872
RSPH4A	ENST00000229554	2151
RWDD1	ENST00000466444	732
CYP4F11	ENST00000402119	1575
C12orf63	ENST00000524981	9291
PKD1P6	ENST00000358815	1383
FUNDC1	ENST00000378045	468
KIAA2026	ENST00000399933	6312
SUPT7L	ENST00000337768	1245
ZRANB1	ENST00000359653	2127
ZNF81	ENST00000376954	1986
HGF	ENST00000222390	2187
SPIN2A	ENST00000374908	777
NTPCR	ENST00000366627	687
ABCB10	ENST00000344517	2217
COG2	ENST00000366669	2217
MMAB	ENST00000545712	753
CAPN9	ENST00000271971	2073
KDM6A	ENST00000382899	4227
GPR125	ENST00000334304	3966
EME2	ENST00000307394	1335
MTL5	ENST00000255087	1527
SLC18A2	ENST00000298472	1545
ALDH3B2	ENST00000530069	1158
COMTD1	ENST00000372538	789
ACY3	ENST00000255082	960
SOHLH1	ENST00000425225	1164
IGHMBP2	ENST00000255078	2982
MR1	ENST00000367580	1026
KRTAP21-2	ENST00000333892	252
PTRH1	ENST00000419060	645
CCDC97	ENST00000269967	1032
PNLIPRP1	ENST00000358834	1404
C11orf66	ENST00000338608	1278
ZNF177	ENST00000589262	1446
ZNF48	ENST00000320159	1857
IGFL3	ENST00000341415	378
CYBASC3	ENST00000447532	792
HMX3	ENST00000357878	1074
SHANK1	ENST00000391814	6510
KCNIP4	ENST00000382152	753
FAM75A6	ENST00000332857	4032
SPTLC1	ENST00000262554	1422
NFATC2	ENST00000396009	2778
RIMS4	ENST00000541604	813
MAGEA12	ENST00000357916	945
VEGFA	ENST00000372055	1239
JMJD6	ENST00000445478	1245
GNPTG	ENST00000204679	918
SENP7	ENST00000394095	3153
COG5	ENST00000297135	2583
MYOZ3	ENST00000517768	756
ZNF462	ENST00000457913	7701
SCG3	ENST00000220478	1407
GABRA3	ENST00000370314	1479
SOX21	ENST00000376945	831
HIST1H2AH	ENST00000377459	387
RNF41	ENST00000345093	954
SLC2A4	ENST00000317370	1530
TRIM49	ENST00000329758	1359
TMEM129	ENST00000382936	1089
PPIC	ENST00000306442	639
SLC28A3	ENST00000376238	2076
NBPF6	ENST00000370040	2004
NUP214	ENST00000451030	6276
FAM78A	ENST00000372271	852
PION	ENST00000257626	2565
GRXCR2	ENST00000377976	747
FBXO48	ENST00000377957	468
C11orf83	ENST00000531323	282
ZNF155	ENST00000407951	1650
NFIX	ENST00000592199	1509
LHFPL1	ENST00000371968	663
CEP97	ENST00000327230	2676
ORAI1	ENST00000330079	912
C20orf29	ENST00000379567	603
SNAI1	ENST00000244050	795
DHDH	ENST00000221403	1005
NUCB1	ENST00000405315	1386
TULP2	ENST00000221399	1563
ZNF444	ENST00000337080	984
ZNHIT1	ENST00000305105	465
VCX2	ENST00000317103	420
CLDN15	ENST00000308344	687
IRX3	ENST00000329734	1506
EIF4EBP1	ENST00000338825	357
P2RX2	ENST00000343948	1494
MXD4	ENST00000337190	630
ABHD2	ENST00000352732	1278
WDR93	ENST00000268130	2061
FANCI	ENST00000310775	3987
RLBP1	ENST00000268125	954
POLG	ENST00000268124	3720
ACSF2	ENST00000427954	1923
FAM102A	ENST00000373095	1155
TMEM92	ENST00000300433	480
BPIL3	ENST00000349552	1362
PIP5KL1	ENST00000388747	1185
SAMD14	ENST00000503131	1338
PLK1	ENST00000300093	1812
GPR182	ENST00000300098	1215
CLPX	ENST00000300107	1902
YY1AP1	ENST00000368339	2667
KBTBD8	ENST00000417314	1806
FAM19A4	ENST00000295569	423
C3orf64	ENST00000383701	1584
RC3H2	ENST00000373670	3576
FAM101A	ENST00000389727	651
TAP1	ENST00000418205	2427
CGNL1	ENST00000281282	3909
LY6G5B	ENST00000437674	639
SST	ENST00000287641	351
DENND5A	ENST00000328194	3864
TMPRSS2	ENST00000398585	1590
MYADM	ENST00000391770	969
MRGPRX3	ENST00000396275	969
SLC45A1	ENST00000377479	2349
NAP1L6	ENST00000373518	324
CHIC1	ENST00000373502	675
DENND4C	ENST00000380437	5022
IGFBPL1	ENST00000377694	837
RAX2	ENST00000555633	693
KCTD9	ENST00000221200	1170
DMRTC1	ENST00000373529	579
ENPP4	ENST00000371401	1362
IFNGR2	ENST00000381995	1071
SLC25A16	ENST00000265870	999
LOXL1	ENST00000261921	1725
ANKRD29	ENST00000592179	906
RPSAP58	ENST00000496398	888
EDF1	ENST00000224073	447
SLC10A7	ENST00000507030	1077
C16orf87	ENST00000565112	485
MFAP3	ENST00000322602	1089
KRT83	ENST00000293670	1482
ELOVL6	ENST00000394607	798
PFKFB3	ENST00000540253	1605
HIST1H4L	ENST00000355981	312
PRH2	ENST00000381847	501
ZNF627	ENST00000361113	1386
ZNF789	ENST00000331410	1278
WDHD1	ENST00000360586	3390
SEMA3C	ENST00000544525	2310
KIAA0895	ENST00000297063	1563
UBE2Q1	ENST00000292211	1269
IL6R	ENST00000368485	1407
ADAR	ENST00000292205	3810
PGC	ENST00000373025	1167
ARPC5L	ENST00000353214	462
HLA-DMA	ENST00000383230	786
GRHL2	ENST00000251808	1878
MRPS18A	ENST00000427312	791
C4orf50	ENST00000531445	2253
SART1	ENST00000312397	2403
TBC1D10C	ENST00000542590	1341
NAPA	ENST00000263354	888
CDC37	ENST00000222005	1137
RABAC1	ENST00000222008	558
GFPT2	ENST00000253778	2049
ATP1A3	ENST00000441343	3680
G2E3	ENST00000553504	2211
HIST3H2A	ENST00000366695	393
FCRLA	ENST00000367959	1149
SYNGR2	ENST00000588282	828
NUP210	ENST00000254508	5664
BTBD19	ENST00000450269	876
MTMR11	ENST00000439741	2130
COX15	ENST00000016171	1233
LGALS3	ENST00000254301	753
UBQLN2	ENST00000338222	1875
RILPL1	ENST00000376874	1212
IFITM10	ENST00000340134	687
KRBOX1	ENST00000426937	387
TXLNA	ENST00000373610	1641
ARHGEF33	ENST00000409978	2613
MTBP	ENST00000305949	2715
SNTB1	ENST00000395601	1617
LCN9	ENST00000277526	531
INPP5E	ENST00000371712	1935
MNAT1	ENST00000261245	930
MID1	ENST00000380779	2004
CYP2C8	ENST00000371270	1473
TMEM180	ENST00000238936	1554
HOXC5	ENST00000312492	669
CBWD1	ENST00000356521	1188
FADS6	ENST00000310226	1053
RAB43	ENST00000315150	639
FXYD4	ENST00000374451	270
PTPRG	ENST00000474889	4338
FLNA	ENST00000369850	7944
PDLIM7	ENST00000355841	1374
SRP72	ENST00000342756	2016
NUMA1	ENST00000393695	6348
PRKRIR	ENST00000260045	2286
CNP	ENST00000393892	1266
CD3EAP	ENST00000589804	1539
HLA-B	ENST00000450871	1089
PSORS1C2	ENST00000416027	411
DYTN	ENST00000452335	1737
ZNF80	ENST00000308095	822
RAP1A	ENST00000356415	555
MRPS30	ENST00000507110	1320
NNT	ENST00000264663	3261
HDAC1	ENST00000373548	1449
FLOT1	ENST00000420604	271
LALBA	ENST00000301046	429
MADCAM1	ENST00000215637	1149
ANK3	ENST00000280772	13134
PALM	ENST00000338448	1164
GADD45B	ENST00000587345	531
SLC7A9	ENST00000590341	1464
BUD31	ENST00000403633	435
PDAP1	ENST00000350498	546
ALDH3A2	ENST00000581518	1527
PTCD1	ENST00000555673	2250
PABPN1	ENST00000216727	921
ZNRD1	ENST00000432904	381
B3GALT4	ENST00000430971	1137
C7orf31	ENST00000409280	1773
SYTL1	ENST00000543823	1689
DDAH2	ENST00000427126	858
RARS	ENST00000231572	1983
WWC1	ENST00000521089	3360
TCERG1	ENST00000296702	3297
H2AFY	ENST00000511689	1119
SCN9A	ENST00000375387	5970
RASSF6	ENST00000342081	1110
COL22A1	ENST00000303045	4881
SDC2	ENST00000302190	606
VHLL	ENST00000339922	420
ACRBP	ENST00000229243	1632
UHRF1BP1L	ENST00000279907	4395
HSPA1A	ENST00000400040	1926
NOP2	ENST00000382421	2538
GAPDH	ENST00000229239	1008
CHD4	ENST00000309577	5823
AQP9	ENST00000219919	888
SLC47A1	ENST00000395585	1761
KPNA1	ENST00000344337	1617
ALPK1	ENST00000177648	3735
RPGR	ENST00000378505	3459
C6	ENST00000337836	2805
CHIC2	ENST00000263921	498
BRCA1	ENST00000471181	5655
ORAOV1	ENST00000538554	451
ALDH1A3	ENST00000329841	1539
RNF185	ENST00000326132	579
KIAA1644	ENST00000381176	600
CDR1	ENST00000370532	789
BOLA3	ENST00000327428	324
CDC42EP3	ENST00000295324	765
TMEM72	ENST00000389583	828
DLEC1	ENST00000346219	5337
SCXB	ENST00000340210	606
FAM27A	ENST00000377531	204
FRG2B	ENST00000443774	840
ZNF3	ENST00000299667	1341
CLEC4D	ENST00000299665	648
YBEY	ENST00000397701	504
CLEC4E	ENST00000299663	660
HLA-DQA1	ENST00000443320	765
PLSCR4	ENST00000354952	990
TRIM10	ENST00000456988	1446
SATL1	ENST00000509231	1899
TCTE3	ENST00000366774	597
UBE2G2	ENST00000345496	498
EDDM3B	ENST00000326783	444
SETD2	ENST00000409792	7695
REEP4	ENST00000306306	774
TNXB	ENST00000375244	12735
TMEM30A	ENST00000230461	1086
COX7A2	ENST00000370081	348
GMDS	ENST00000380815	1119
WRB	ENST00000333781	525
TNRC18	ENST00000399537	8907
BLMH	ENST00000261714	1368
SLC6A4	ENST00000401766	1893
GALNT12	ENST00000375011	1746
BAG6	ENST00000552467	3489
NTN4	ENST00000343702	1887
JKAMP	ENST00000554271	978
TIGD4	ENST00000304337	1539
ENPP3	ENST00000414305	2628
ZNF35	ENST00000396056	1584
ABCA6	ENST00000284425	4854
ABCA10	ENST00000269081	4632
ABCA5	ENST00000392677	4932
NPSR1	ENST00000381539	1173
MYLPF	ENST00000566955	600
KIAA0196	ENST00000318410	3480
WFDC9	ENST00000326000	270
RBMY1B	ENST00000383020	1491
C9orf23	ENST00000378959	492
LRRC18	ENST00000374160	786
KBTBD4	ENST00000533290	1632
C14orf147	ENST00000298130	216
ZNF488	ENST00000395702	1023
RNF5	ENST00000549680	549
PABPC4	ENST00000372858	1983
LAMA1	ENST00000389658	9228
PGPEP1L	ENST00000378919	591
TNFAIP8L3	ENST00000327536	879
ZNRF3	ENST00000544604	2811
C15orf38-AP3S2	ENST00000398333	1185
ADPRHL2	ENST00000373178	1092
ARSD	ENST00000381154	1782
PNPLA4	ENST00000381042	762
MPPE1	ENST00000588072	1191
C6orf195	ENST00000296847	384
UBR1	ENST00000290650	5250
GABRA2	ENST00000507069	1536
MARCKS	ENST00000368635	999
TCHH	ENST00000368804	5832
METTL21D	ENST00000395860	690
C12orf59	ENST00000381923	552
SOS2	ENST00000216373	3999
LCE2B	ENST00000368780	333
TMEM80	ENST00000526170	633
SEC23IP	ENST00000369075	3003
SPATA20	ENST00000006658	2409
CACNA1G	ENST00000359106	7134
C22orf41	ENST00000406915	267
LRRC33	ENST00000328557	2079
FAM179B	ENST00000361462	5322
DLL1	ENST00000366756	2172
EMCN	ENST00000296420	786
H2AFZ	ENST00000296417	387
DNAJB14	ENST00000442697	1140
C1orf191	ENST00000361350	303
MT-CO2	ENST00000361739	684
C1orf85	ENST00000362007	1221
NHEDC2	ENST00000362026	1614
BDH2	ENST00000296424	738
PICK1	ENST00000404072	1248
P2RY6	ENST00000540342	987
SLC16A8	ENST00000320521	1515
BPTF	ENST00000321892	9141
TTC28	ENST00000397906	7446
HOXB8	ENST00000239144	732
NBPF15	ENST00000369187	2013
ANKRD63	ENST00000434396	1143
SNRPD2	ENST00000342669	357
OPA3	ENST00000323060	543
FOSB	ENST00000353609	1017
EML2	ENST00000587152	2553
RTN2	ENST00000245923	1638
TMC4	ENST00000376591	2139
PEPD	ENST00000244137	1482
CYP2S1	ENST00000310054	1515
AXL	ENST00000301178	2685
NFKBID	ENST00000352614	1398
C21orf119	ENST00000534991	186
ACY1	ENST00000458031	1497
TG	ENST00000220616	8307
SIRT1	ENST00000212015	2244
GEMIN8	ENST00000380523	729
C8orf31	ENST00000395172	399
PCDHGC3	ENST00000308177	2805
MS4A8B	ENST00000300226	753
MASP1	ENST00000296280	2187
ATP13A4	ENST00000342695	3591
CIB2	ENST00000258930	564
SUPT5H	ENST00000599117	3264
WASF2	ENST00000430629	1497
PIGV	ENST00000078527	1482
HOXD3	ENST00000468418	1299
CHN1	ENST00000409900	1380
MTX2	ENST00000249442	792
PDE11A	ENST00000286063	2802
MOBKL1A	ENST00000396051	666
RASL11A	ENST00000241463	729
GMPPB	ENST00000308375	1164
STEAP2	ENST00000287908	1473
KIFC1	ENST00000448818	2022
NEU4	ENST00000325935	1494
ZNF622	ENST00000308683	1434
HTR5A	ENST00000287907	1074
SNX33	ENST00000308527	1725
KLHL15	ENST00000328046	1815
TAP2	ENST00000548452	2307
SPERT	ENST00000310521	1347
KCNB1	ENST00000371741	2577
FAM46D	ENST00000308293	1170
CUL7	ENST00000535468	5349
C17orf109	ENST00000375215	234
C12orf49	ENST00000261318	618
PPT2	ENST00000383152	927
NCAN	ENST00000252575	3966
GDF1	ENST00000247005	1119
CD164	ENST00000310786	594
TSEN2	ENST00000402228	1398
ZDHHC1	ENST00000348579	1458
TPPP3	ENST00000393957	531
GPSM3	ENST00000429209	483
TBX4	ENST00000393853	1641
SLC35B1	ENST00000415270	1080
EGLN2	ENST00000594136	642
C5orf32	ENST00000261811	294
ZNF584	ENST00000306910	1266
ENDOU	ENST00000422538	1233
RERGL	ENST00000229002	618
SLC26A10	ENST00000320442	1692
ACVR1B	ENST00000541224	1641
TMPRSS11E	ENST00000305363	1272
OS9	ENST00000315970	2004
LSG1	ENST00000265245	1977
RAB1B	ENST00000311481	606
KIAA0564	ENST00000379310	5718
C13orf15	ENST00000379359	414
CYP21A2	ENST00000547367	1488
ZXDB	ENST00000374888	2412
C9orf141	ENST00000371629	693
ZNF568	ENST00000333987	1935
KLHL5	ENST00000359687	2313
ST18	ENST00000276480	3144
FAM149A	ENST00000356371	2322
PXDNL	ENST00000356297	4392
SNTG1	ENST00000518864	1554
EIF5A2	ENST00000295822	462
IFT80	ENST00000326448	2334
TRIM26	ENST00000438908	1620
SLC2A8	ENST00000373371	1434
STXBP1	ENST00000373302	1812
PCBD2	ENST00000254908	393
ANGPTL2	ENST00000373425	1482
ADAT1	ENST00000307921	1509
MOBKL2A	ENST00000357066	654
KRCC1	ENST00000347055	780
RAB5C	ENST00000547517	750
KAT2A	ENST00000225916	2514
DHX58	ENST00000251642	2037
PM20D2	ENST00000275072	1311
